,major_genre,title,subgenre,seasons,episodes,viewer_score,rating,company_name,release_data
1,Animation,Family Guy,Animation~Primetime Animation|Teen|Comedy~Sitcoms,15,288,87,TV-MA,FOX,1999
2,Comedy,South Park,Comedy|Animation~Primetime Animation,20,274,87,TV-MA,Comedy Central,1997
3,Comedy,American Dad!,Comedy~Sitcoms|Animation~Primetime Animation,9,172,82,TV-14,Fox Television Classics,2005
4,Drama,Law & Order: Special Victims Unit,Drama~Crime and Courtroom Drama|Drama~Mystery,18,406,92,TV-14,NBC,1999
5,Anime,Naruto Shippuden,Anime~Anime - Action Adventure|Action and Adventure|International~Japanese,9,597,88,TV-14,Viz Media,2007
6,Comedy,Seinfeld,Comedy~Sitcoms,9,171,87,TV-PG,Sony Pictures Television,1989
7,Comedy,Modern Family,Comedy~Sitcoms|Teen|Family,1,22,93,TV-14,ABC,2009
8,Family Animation,Adventure Time,Family Animation|Animation|Teen,7,223,87,TV-PG,Cartoon Network,2010
9,Comedy,Saturday Night Live,Comedy~Sketch Comedy|Comedy~Late Night Comedy,18,370,82,TV-14,NBC,1975
10,Comedy,The Mindy Project,Comedy~Sitcoms,5,107,89,TV-14,Hulu Original Series,2012
11,Comedy,Community,Comedy,6,110,92,TV-14,Sony Pictures Television,2009
12,Drama,Grey's Anatomy,Drama~Medical Drama|Teen,1,24,89,TV-14,ABC,2005
13,Comedy,The Simpsons,Comedy~Sitcoms|Animation~Primetime Animation,1,21,85,TV-14,FOX,1989
14,Comedy,Brooklyn Nine-Nine,Comedy,4,90,91,TV-14,FOX,2013
15,Comedy,Parks and Recreation,Comedy~Sitcoms,7,123,92,TV-14,NBC,2009
16,Family Animation,The Amazing World of Gumball,Family Animation|Animation|Family|Teen,4,156,80,TV-Y7-FV,Cartoon Network,2011
17,Animation,Bob's Burgers,Animation~Primetime Animation|Comedy,7,129,86,TV-14,FOX,2011
18,Comedy,New Girl,Comedy~Sitcoms|Teen,1,22,92,TV-14,FOX,2011
19,Drama,Glee,Drama|Music~Musicals|Comedy|Teen,6,121,84,TV-14,FOX,2009
20,Drama,Bones,Drama~Crime and Courtroom Drama,12,246,92,TV-14,FOX,2005
21,Drama,Nashville,Drama|Music~Musicals,5,107,88,TV-MA,CMT,2012
22,Family Animation,Regular Show,Family Animation|Animation|Teen,7,217,81,TV-PG,Cartoon Network,2009
23,Drama,Once Upon a Time,Drama|Science Fiction~Science Fiction - Thriller|Teen|Family,1,22,94,TV-PG,ABC,2011
24,Animation,Rick and Morty,Animation~Primetime Animation|Teen,2,21,95,TV-MA,Adult Swim,2013
25,Comedy,Workaholics,Comedy,7,86,92,TV-MA,Comedy Central,2011
26,Anime,Bleach,Anime~Anime - Supernatural and Horror|International~Japanese|Teen,26,732,88,TV-14,Viz Media,2004
27,Anime,One Piece,Anime|International~Japanese,11,747,83,TV-14,Toei Animation,1999
28,Reality ,The Voice,Reality ~Competition|Music|Teen|Family,0,0,82,TV-PG,NBC,2011
29,Animation,Doc McStuffins,Animation|Family Animation,3,92,70,TV-Y7,Disney Junior,2012
